"I've been romantic and imaginative.","I've been pragmatic and down to earth.","E","B"
"I have tended to take on confrontations.","I have tended avoid confrontations","G","A"
"I have typically been diplomatic, charming, and ambitious.","I have typically been direct, formal, and idealistic.","C","D"
"I have tended to be focused and intense.","I have tended to be spontaneous and fun-loving.","H","I"
"I have been a hospitable person and have enjoyed welcoming new friends into my life.","I have been a private person and have not mixed much with others.","F","E"
"Generally, it's been easy to 'get a rise' out of me.","Generally, it's been difficult to 'get a rise' out of me.","B","A"
"I've been more of a 'street-smart' survivor.","I've been more of a 'high-minded' idealist .","G","D"
"I have needed to show affection to people.","I have preferred to maintain a certain distance with people.","F","H"
"When presented with a new experience, I've usually asked myself if it would be useful to me.","When presented with a new experience, I've usually asked myself if it would be enjoyable.","C","I"
"I have tended to focus too much on myself.","I have tended to focus too much on others.","E","A"
"Others have depended on my insight and knowledge.","Others have depended on my strength and decisiveness.","H","G"
"I have come across as being too unsure of myself.","I have come across as being too sure of myself.","B","D"
"I have been more relationship-oriented than goal-oriented.","I have been more goal-oriented than relationship-oriented.","F","C"
"I have not been able to speak up for myself very well.","I have been outspokenâ€”I've said what others wished they had the nerve to say.","E","I"
"It's been difficult for me to stop considering alternatives and do something definite.","It's been difficult for me to take it easy and be more flexible.","H","D"
"I have tended to be hesitant and procrastinating.","I have tended to be bold and domineering.","B","G"
"My reluctance to get too involved has gotten me into trouble with people.","My eagerness to have people depend on me has gotten me into trouble with them.","A","F"
"Usually, I have been able to put my feelings aside to get the job done.","Usually, I have needed to work through my feelings before I could act.","C","E"
"Generally, I have been methodical and cautious.","Generally, I have been adventurous and taken risks.","B","I"
"I have tended to be a supportive, giving person who enjoys the company of others.","I have tended to be a serious, reserved person who likes discussing issues.","F","D"
"I've often felt the need to be a 'pillar of strength.'","I've often felt the need to perform perfectly","G","C"
"I've typically been interested in asking tough questions and maintaining my independence.","I've typically been interested in maintaining my stability and peace of mind.","H","A"
"I've been too hard-nosed and skeptical.","I've been too soft-hearted and sentimental.","B","F"
"I've often worried that I'm missing out on something better.","I've often worried that if I let down my guard, someone will take advantage of me.","I","G"
"My habit of being 'stand-offish' has annoyed people.","My habit of telling people what to do has annoyed people.","E","D"
"Usually, when troubles have gotten to me, I have been able to 'tune them out.'","Usually, when troubles have gotten to me, I have treated myself to something I've enjoyed.","A","I"
"I have depended upon my friends and they have known that they can depend on me.","I have not depended on people; I have done things on my own.","B","C"
"I have tended to be detached and preoccupied.","I have tended to be moody and self-absorbed.","H","E"
"I have liked to challenge people and 'shake them up'.","I have liked to comfort people and calm them down","G","F"
"I have generally been an outgoing, sociable person.","I have generally been an earnest, self-disciplined person.","I","D"
"I've usually been shy about showing my abilities.","I've usually liked to let people know what I can do well.","A","C"
"Pursuing my personal interests has been more important to me than having comfort and security.","Having comfort and security has been more important to me than pursuing my personal interests.","H","B"
"When I've had conflict with others, I've tended to withdraw.","When I've had conflict with others, I've rarely backed down.","E","G"
"I have given in too easily and let others push me around.","I have been too uncompromising and demanding with others.","A","D"
"I've been appreciated for my unsinkable spirit and great sense of humour.","I've been appreciated for my quiet strength and exceptional generosity.","I","F"
"Much of my success has been due to my talent for making a favourable impression.","Much of my success has been achieved despite my lack of interest in developing 'interpersonal skills.'","C","H"
